Product ID,Product Name,Category,Subcategory,Original Price,Discount (%),Final Price,Rating,Reviews,Stock,Seller,City,State,Delivery Days,COD Available,Date Added
MP100000,Stay Bedsheets,Home & Kitchen,Bedsheets,2050.07,9,1865.56,3.5,3565,49,Green LLC,West Chelseabury,Idaho,2,No,2024-08-27
MP100001,Ahead Earphones,Electronics,Earphones,1140.61,5,1083.58,1.7,925,72,Leonard and Sons,Jeffreyport,Arkansas,2,Yes,2025-01-06
MP100002,Dream Smartwatches,Electronics,Smartwatches,1111.04,26,822.17,4.5,4236,15,Valdez PLC,Walkerberg,Colorado,3,No,2025-07-03
MP100003,Red Decor,Home & Kitchen,Decor,1469.94,28,1058.36,1.9,1360,7,"Estrada, Cooper and Hanson",Jimmytown,Arizona,2,No,2024-12-27
MP100004,Suffer Smartwatches,Electronics,Smartwatches,1661.74,60,664.7,1.8,442,26,Anderson PLC,New Veronicafurt,Oklahoma,4,No,2024-12-16
MP100005,Indeed Skincare,Beauty & Health,Skincare,820.78,44,459.64,1.7,995,73,Bryant Inc,Juliehaven,Colorado,7,Yes,2024-08-15
MP100006,Suddenly Jewelry,Accessories,Jewelry,445.59,30,311.91,3.4,4430,1,"Wright, Giles and Edwards",Hardybury,North Dakota,5,Yes,2024-10-29
MP100007,Reason Cookware,Home & Kitchen,Cookware,2055.14,22,1603.01,3.6,4604,87,Bowers LLC,Charlesborough,Washington,6,No,2024-10-17
MP100008,Act Earphones,Electronics,Earphones,1360.54,13,1183.67,3.7,1683,51,Smith LLC,Port Adam,Oklahoma,7,No,2024-08-11
MP100009,Data Sarees,Fashion,Sarees,2959.78,20,2367.82,2.8,3465,22,Clark and Sons,Maryview,North Dakota,2,Yes,2024-08-11
MP100010,International Curtains,Home & Kitchen,Curtains,2479.22,39,1512.32,3.3,2286,96,Roberts-Taylor,Booneshire,New Hampshire,4,Yes,2025-05-14
MP100011,Dream Watches,Accessories,Watches,2487.22,59,1019.76,1.7,1529,72,Thompson-Matthews,New Billystad,California,8,No,2025-02-04
MP100012,Mouth Cookware,Home & Kitchen,Cookware,2011.97,39,1227.3,3.4,1916,75,Mckay-Lynch,Garyton,Ohio,5,Yes,2025-03-26
MP100013,Too Mobile Covers,Electronics,Mobile Covers,2936.22,58,1233.21,1.2,2723,2,Delgado and Sons,South Theresahaven,Michigan,6,No,2025-01-22
MP100014,Perhaps Haircare,Beauty & Health,Haircare,794.34,6,746.68,4.9,557,4,Lawson Ltd,Hallbury,California,5,Yes,2025-06-27
MP100015,Late Smartwatches,Electronics,Smartwatches,887.51,40,532.51,3.9,1401,87,Burton-Taylor,Joneschester,Pennsylvania,9,No,2025-04-04
MP100016,Give Jewelry,Accessories,Jewelry,1055.06,6,991.76,3.3,2024,37,"Beck, Aguilar and Jackson",New Timothy,Arkansas,10,No,2024-12-09
